"Genotype","predicted.value","std.error","status","AVSED","h2_Cullis","Gvar","pop","co_loc","pop_BLUE"
"FBR3N1",645.699621422141,200.238319228488,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N10",753.877990542727,200.684976774998,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N102",579.786301533481,200.317091260883,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N104",1236.95303655885,201.114430783076,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N11",1234.15364362638,200.908795562611,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N12",582.323093914535,201.254431428941,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N13",884.757161250003,201.102247531731,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N19",1203.21104529256,203.047939270942,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N20",638.198082013915,203.133756284858,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N22",908.985607296972,199.794798684008,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N23",714.141065334759,201.468942988342,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N24",922.469200970766,199.955947202296,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N26",1174.06063936746,201.822250019402,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N28",851.60752276497,200.814053976526,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N29",1304.34124070702,200.503404826181,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N31",560.286610740613,199.108887303738,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N32",1096.73531512413,203.190777060522,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
"FBR3N33",948.628744831553,198.201588442781,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N34",1077.69794103947,200.452354341298,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","1",1275.02384015512
"FBR3N35",852.471768442621,197.727800835174,"Estimable",305.675678102037,0.792216458350158,224843.650852294,"gxr","0",1275.02384015512
