"Genotype","predicted.value","std.error","status","AVSED","h2_Cullis","Gvar","pop","co_loc","pop_BLUE"
"FBR1N89",18.5348084594861,2.8343468994612,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N9",23.2574277797315,2.84084980330705,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N90",20.3464013323594,2.83894789745228,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N91",15.6256133594571,2.83725597348854,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N92",18.9960743940738,2.84307427549993,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N94",25.5733528925859,2.84878721578073,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR1N97",19.0262404091407,2.83932224887099,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N98",17.4141992571245,2.84363956498151,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR1N99",21.6597773094621,2.8425612644873,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N1",17.9850224617661,2.84125522206984,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N10",16.8017511597158,2.84524560825988,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N101",20.5562292401959,2.84771754437943,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N102",19.4394660994069,2.85236247810357,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N11",22.5442078053979,2.85200109677878,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N12",13.6736713230433,2.83842314766183,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N13",14.7065370816155,2.84856147663643,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N16",18.735645489197,2.84102271113844,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N17",14.9907432484799,2.84909536766624,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N18",26.5007020378987,2.87772427515066,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N2",14.8935565494418,2.81795992934098,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N20",18.5901271513948,2.84980225072822,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N21",18.8693854817882,2.83734631767825,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N23",23.1927096619095,2.83887115913852,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N24",15.8211190144842,2.83582974733338,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N26",16.3868217579245,2.83897907824088,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N27",14.3016404325386,2.84091260409048,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","1",18.2152456962334
"FBR2N28",24.5608130552579,2.84412403775632,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
"FBR2N3",22.0979096193866,2.84153743837831,"Estimable",4.82252023955339,0.785385283227341,54.1824479947895,"gxr","0",18.2152456962334
