taxa,PC1,PC2,PC3
LAR2N92,22.9682287677406,-1.96585357154823,-23.3817096778229
LAR2N94,-3.76453457097423,36.6726708251461,-28.8913918380984
LAR2N97,-3.14573258039324,24.6271880197057,-10.6854765278333
LAR2N98,2.76840858162648,2.25312433430727,9.45319275582307
LAR3N100,7.94532701382155,12.2266830690359,10.6320698764511
LAR3N101,8.42281143502454,17.0741941191603,8.55501993337368
LAR3N108,-0.629500430189034,8.72299522154764,14.6042169725871
LAR3N109,-12.2029618303318,0.446039279107928,10.5905479355062
LAR3N112,-8.39392785938775,30.3188591032427,-11.4405561226015
LAR3N113,6.34747054153426,2.70988571189236,6.91620477686117
LAR3N114,10.3481134587744,20.279677553053,-8.36045697338317
LAR3N118,24.7880333134291,-25.1060532766689,-11.2086371717662
LAR3N12,-9.12375368783598,-23.9609415135931,-20.775676414329
LAR3N120,13.3130591144949,-3.31189779082753,-24.6145614150492
LAR3N123,-2.99333605200349,-5.23710398648115,26.6651387154887
LAR3N124,4.45566227174807,21.3968322366531,39.1897766382133
LAR3N14,5.64317995122798,-22.6873221062879,-29.1964598597607
LAR3N15,18.0287249568421,-11.3330082397591,-17.4487446562829
LAR3N17,10.6692685746531,15.5786020219031,8.1958523188125
LAR3N2,9.99881584191515,-28.8344293465129,1.58123118662486
LAR3N21,2.36965590683479,-9.8622359264161,-28.6205745300194
LAR3N23,30.4510377662835,-3.28348775090076,-5.22416065648396
LAR3N26,47.1346812643745,25.6143725343408,6.95250458629702
LAR3N28,-1.75156731886229,-4.39259975696458,43.0285701583461
LAR3N3,-5.36561898538659,-31.6362556297998,1.0685291678447
LAR3N30,1.38112046234263,12.061423135853,14.507407851183
LAR3N31,21.7101557441493,-5.83028469108509,-38.8729189482209
LAR3N32,8.67318755128426,14.2404052651315,11.839915984765
LAR3N34,15.6082696884209,18.7872487776207,13.6357946665471
LAR3N36,16.2745756295717,-2.69741881075146,-4.17903449997322
LAR3N38,11.481499498568,24.8759091360285,-3.26970239044225
LAR3N39,35.3329974514471,-9.13285686994312,-17.6808074008252
LAR3N40,6.0462860739353,7.09140518660277,-37.9395177533854
LAR3N41,11.9084063712884,-35.957195134337,14.2099592086094
LAR3N43,9.15450931197526,-5.5091536237347,24.7353812585027
LAR3N44,-55.0151106326407,-25.4501514472015,-15.4257438989576
LAR3N45,-15.0116348308596,-15.6961125318881,-10.6627896055126
LAR3N49,20.0345971290719,-32.6079901454394,17.4349874376897
LAR3N5,24.0327527188803,-21.8233227531587,-40.0558444338963
LAR3N53,1.50727450029683,15.3031601099407,23.5520919353265
LAR3N54,4.33216807003186,20.0754668289275,-3.10026943044596
LAR3N55,16.5476719837123,-24.3745529007943,-2.25306424322536
LAR3N57,9.35973128010206,30.5002210915773,-16.5230689792383
LAR3N60,3.24402896638472,22.1354604232089,19.7720821845665
LAR3N63,-8.85603471638461,-37.5133270618846,-19.1250700203589
LAR3N65,3.14537861912569,17.5381565178327,25.7310142625078
LAR3N66,-7.47578189329688,-23.0649104945679,-9.58910784753024
LAR3N67,19.1196750508916,-12.0027677756912,-18.947340013665
LAR3N71,11.8682006630286,12.6147540187912,19.8876323300847
LAR3N74,8.06565368420717,3.84842869526761,30.1507315373388
LAR3N76,3.1622290432168,11.7055867461476,35.5056603491676
LAR3N77,10.3470750176756,-2.79234150117783,28.9354044846574
LAR3N79,-0.637587671087824,-20.7223823400401,-1.89638337935042
LAR3N81,12.8185499507417,-24.1258920575856,28.3812482404048
