"Genotype","predicted.value","std.error","status"
"BIR2N91",0.907562041840319,0.217191489366499,"Estimable"
"BIR2N94",0.965167600051023,0.222277062104257,"Estimable"
"BIR2N96",1.00556991448596,0.213047310261363,"Estimable"
"FBR1N1",0.872517513293857,0.289155989809319,"Estimable"
"FBR1N100",0.797902780246307,0.308844073053893,"Estimable"
"FBR1N101",0.886694202913602,0.295479681249102,"Estimable"
"FBR1N102",0.878248680404999,0.305476926670947,"Estimable"
"FBR1N103",0.880591342680012,0.297295028739457,"Estimable"
"FBR1N11",0.892446313669021,0.294506171336819,"Estimable"
"FBR1N12",0.868844109866477,0.300686156149278,"Estimable"
"FBR1N13",0.793663387971697,0.302334292756797,"Estimable"
"FBR1N14",0.917278076875216,0.298184080805364,"Estimable"
"FBR1N16",0.854953180056939,0.300767741915478,"Estimable"
"FBR1N17",0.90719117744582,0.295364379251598,"Estimable"
"FBR1N19",0.865141755671225,0.303467352855157,"Estimable"
"FBR1N2",0.87081810743455,0.30252842539316,"Estimable"
"FBR1N20",0.929172605856795,0.296518826496969,"Estimable"
"FBR1N21",0.879542365638548,0.303195521746603,"Estimable"
"FBR1N22",0.854469654176921,0.296246874972393,"Estimable"
"FBR1N23",0.893419112794729,0.301727482933867,"Estimable"
"FBR1N24",0.95385152042691,0.298226944355638,"Estimable"
"FBR1N25",0.89630241312856,0.303512079907958,"Estimable"
"FBR1N27",0.873973727122516,0.305172705399251,"Estimable"
"FBR1N28",0.883700030212065,0.306628911672435,"Estimable"
"FBR1N3",0.937855320286158,0.295206019095416,"Estimable"
"FBR1N31",0.869940851185412,0.306994130873425,"Estimable"
"FBR1N32",0.884632142264975,0.297630500561942,"Estimable"
"FBR1N33",0.825114262895394,0.296167563210141,"Estimable"
"FBR1N34",0.882058567072883,0.301503275269938,"Estimable"
"FBR1N35",0.886662015183856,0.308819526803734,"Estimable"
"FBR1N38",0.923151048172941,0.28994057313212,"Estimable"
"FBR1N39",0.847792626796147,0.301140294777085,"Estimable"
"FBR1N4",0.825107330036112,0.305716862372121,"Estimable"
"FBR1N40",0.908314876733481,0.301353885703676,"Estimable"
"FBR1N41",0.828746602709706,0.293602873637971,"Estimable"
"FBR1N43",0.861955371422492,0.300820899703614,"Estimable"
"FBR1N45",0.883374057688039,0.301688873460635,"Estimable"
"FBR1N47",0.935151928747162,0.303906977873872,"Estimable"
"FBR1N48",0.905173017967639,0.291315321647835,"Estimable"
"FBR1N50",0.83827828547621,0.302695251586641,"Estimable"
"FBR1N54",0.8473143887398,0.295074248159222,"Estimable"
"FBR1N56",0.878326147087466,0.29743478882898,"Estimable"
"FBR1N58",0.834797485844787,0.307500459005735,"Estimable"
"FBR1N60",0.832241971546426,0.299301129651325,"Estimable"
"FBR1N62",0.860780301955148,0.296918706860366,"Estimable"
"FBR1N63",0.809596445234808,0.3004411832967,"Estimable"
"FBR1N64",0.843490729165138,0.297720162226074,"Estimable"
"FBR1N67",0.813807587464717,0.295083547088143,"Estimable"
"FBR1N68",0.85462623787872,0.304642465169798,"Estimable"
"FBR1N69",0.859411159111743,0.299408365813998,"Estimable"
"FBR1N7",0.82161124359016,0.293855584407775,"Estimable"
"FBR1N71",0.865528451592111,0.304957984963265,"Estimable"
"FBR1N73",0.889782004826394,0.288760113866104,"Estimable"
"FBR1N75",0.870375707961571,0.299153751591082,"Estimable"
"FBR1N77",0.857846336862927,0.296442680030247,"Estimable"
"FBR1N78",0.876200046547868,0.30116894928157,"Estimable"
"FBR1N8",0.844135426327325,0.303762800880222,"Estimable"
"FBR1N80",0.894465523915594,0.299780702155125,"Estimable"
"FBR1N82",0.855776380849187,0.293005198093175,"Estimable"
"FBR1N83",0.853816731997438,0.303607514042918,"Estimable"
"FBR1N84",0.863874279517254,0.302372019674322,"Estimable"
"FBR1N86",0.890214425991,0.286725096418685,"Estimable"
"FBR1N88",0.935728735513389,0.301509154427279,"Estimable"
"FBR1N89",0.895279792963654,0.300185675790129,"Estimable"
"FBR1N9",0.796397596183883,0.303295627075277,"Estimable"
"FBR1N90",0.89776310507095,0.291053778432102,"Estimable"
"FBR1N91",0.900254687682945,0.298114332835832,"Estimable"
"FBR1N92",0.926745474236178,0.304091832943733,"Estimable"
"FBR1N94",0.847132524139345,0.311266920729594,"Estimable"
