taxa,PC1,PC2,PC3
FBR2N35,-36.6889529960267,-35.5738742982343,20.7340253765999
FBR2N37,-41.7663931474147,-35.9073642491507,-8.8664957311585
FBR2N38,-38.7367656603775,-41.077929743862,5.62321334051938
FBR2N40,-40.9480882026308,-38.6125249036969,-17.902110650718
FBR2N41,-42.1585019996755,-45.2636279906613,18.0096529424888
FBR2N42,-45.6811268103453,-39.9585452446047,-4.94992161253567
FBR2N43,-43.7071170715029,-37.086790481052,-7.22287899027137
FBR2N44,-43.9873476955658,-36.3596086293119,-1.09708816079333
FBR2N45,-37.2219159134363,-40.6233461769086,-3.01744674789082
FBR2N46,-42.4331680706363,-40.5377094179553,6.74244920153053
FBR2N48,-36.0147161736321,-31.7159061613903,1.97594761813358
FBR2N5,-46.5572697616024,-40.849938040329,3.32598798314018
FBR2N50,-38.0483309339704,-48.3869989460786,-0.846864389826191
FBR2N51,-34.7763430879225,-36.5608518861408,3.89703107492432
FBR2N53,-33.8492864796202,-43.6347399108196,27.8366408720803
FBR2N55,-47.2474998639742,-39.8305636958593,0.660887942135101
FBR2N56,-35.3878520301062,-42.1200928706779,-0.408346440081677
FBR2N57,-37.8831542680792,-43.0912547656696,8.75205295703658
FBR2N58,-36.0683687839234,-34.7034248159721,29.4075911219911
FBR2N59,-41.1214019282018,-37.7562515424379,25.4179549629248
FBR2N61,-39.5929181960714,-35.8171530370346,15.8896514741424
FBR2N62,-42.6089731890726,-43.7373692245742,3.82295347855521
FBR2N64,-38.7120734823102,-36.9773058041358,3.61652574110986
FBR2N66,-40.9341143424974,-38.9164962331199,1.69226820611163
FBR2N67,-38.5806357315993,-46.2010069667469,-2.38266334103168
FBR2N68,-41.5353234733338,-40.6349278086985,-10.0312261903881
FBR2N7,-34.2355996380018,-37.9217620086486,-29.3324517109159
FBR2N71,-45.5785425856367,-37.5227665940999,-5.2044660721127
FBR2N72,-33.4989202599768,-41.7435051055289,14.4688731103414
FBR2N73,-40.2999746550396,-37.2735462502953,-2.59812421135204
FBR2N75,-38.3120468748034,-42.4875101320603,22.8934335632881
FBR2N78,-39.6870471766917,-47.1369640305484,27.1967161016946
FBR2N8,-37.0950711600769,-47.2157646106968,2.99551007149171
FBR2N80,-41.2023837216139,-40.40911676536,4.35627503405681
FBR2N81,-40.2420680028591,-42.7317403302206,-6.46791899162655
FBR2N83,-48.5648891059878,-37.9273613040017,-7.45556358189282
FBR2N86,-46.0877837308992,-36.2706569154499,-15.7994518890875
FBR2N87,-35.5188919261846,-42.5735286113438,-18.8590846610789
FBR2N88,-42.3382022737264,-42.0872607929805,22.5034936762937
FBR2N89,-42.9042587307428,-42.560926181348,-5.95803421363734
FBR2N9,-43.8112544718378,-43.2821089633807,17.3227498803273
FBR2N90,-39.9875167586269,-45.0966417786701,8.58293869966998
FBR2N93,-39.2358063942652,-31.9684821246747,-19.5916885877713
FBR2N94,-37.2842710290761,-41.148687051272,-25.8497524477741
FBR2N97,-39.4020959479527,-37.5788625593129,-0.327889062371542
FBR3N1,-33.6228321103861,-44.3131663146966,-44.9672956001009
FBR3N10,-41.3629279095709,-42.7238958124039,15.4730156868544
FBR3N102,-41.9312950068066,-40.8629829751164,-18.9240381867661
FBR3N104,-41.6509529230336,-37.8885864817039,4.7004946809878
FBR3N11,-38.1229378160648,-41.2018707759649,15.8314516000698
FBR3N12,-41.8385388541657,-41.09853899255,3.62829830381878
FBR3N13,-41.3197241817246,-33.8140154622285,-27.8630283309082
FBR3N19,-40.1421890807095,-44.9991260478538,21.191121372072
FBR3N20,-35.7445640180141,-45.8123354131977,-19.5663866782544
FBR3N22,-34.4354612243097,-47.961624120822,10.4944947331137
FBR3N23,-38.9748823172974,-43.6223513872534,0.749101295633623
FBR3N24,-36.5061829666291,-41.8913689102068,6.84526615917984
FBR3N26,-40.0730389960598,-39.4956219485586,-6.48991667248743
FBR3N28,-44.144299008883,-39.3699188527746,1.01317411366558
FBR3N29,-43.5469757625413,-46.653728567808,18.221607744889
FBR3N31,-39.2751821252153,-45.0532777125146,-9.29427618451402
FBR3N32,-36.1280901493354,-39.7170589536866,7.16945505943515
FBR3N33,-41.2566829595552,-41.6259650998637,4.12531142044392
FBR3N34,-43.4701993434264,-39.5305241432217,-30.3546492812256
FBR3N35,-44.8612172946444,-32.9270321905066,-9.41943435547338
